Team Name;Player Name
Wisła Kraków;Lis M.
Wisła Kraków;Klemenz L.
Wisła Kraków;Niepsuj D.
Wisła Kraków;Janicki R.
Wisła Kraków;Sadlok M.
Wisła Kraków;Wojtkowski  K.
Wisła Kraków;Chuca
Wisła Kraków;Boguski R.
Wisła Kraków;Hołownia  M.
Wisła Kraków;Basha V.
Wisła Kraków;Turgeman A.
Wisła Kraków;Buksa  A.
Wisła Kraków;Pawłowski  D.
Wisła Kraków;Tupta L.
Korona Kielce;Kozioł M.
Korona Kielce;Gardawski M.
Korona Kielce;Kovacević A.
Korona Kielce;Tzimopoulos T.
Korona Kielce;Szymusik  G.
Korona Kielce;Forsell P.
Korona Kielce;Żubrowski J.
Korona Kielce;Szelągowski  D.
Korona Kielce;Cebula M.
Korona Kielce;Radin M.
Korona Kielce;Kiełb J.
Korona Kielce;Kaczmarski  I.
Korona Kielce;Długosz  W.
Korona Kielce;Spychała  M.
Miedź Legnica;Dżanajew S.
Miedź Legnica;Bartczak G.
Miedź Legnica;Musa B.
Miedź Legnica;Pikk A.
Miedź Legnica;Zieliński P.
Miedź Legnica;Santana O.
Miedź Legnica;Roman J.
Miedź Legnica;Augustyniak R.
Miedź Legnica;Camara J.
Miedź Legnica;Fernandez B.
Miedź Legnica;Forsell P.
Miedź Legnica;Szczepaniak M.
Miedź Legnica;Ojamaa H.
Miedź Legnica;Garguła Ł.
Śląsk Wrocław;Słowik J.
Śląsk Wrocław;Broź Ł.
Śląsk Wrocław;Golla W.
Śląsk Wrocław;Pawelec M.
Śląsk Wrocław;Celeban P.
Śląsk Wrocław;Cholewiak M.
Śląsk Wrocław;Augusto
Śląsk Wrocław;Mączyński K.
Śląsk Wrocław;Chrapek M.
Śląsk Wrocław;Pich R.
Śląsk Wrocław;Robak M.
Śląsk Wrocław;Cotra D.
Śląsk Wrocław;Łabojko J.
Śląsk Wrocław;Radecki M.
Wisła Płock;Kamiński K.
Wisła Płock;Uryga A.
Wisła Płock;Rzeźniczak J.
Wisła Płock;Vallo K.
Wisła Płock;Garcia A.
Wisła Płock;Szwoch M.
Wisła Płock;Lesniak F.
Wisła Płock;Kocyła  D.
Wisła Płock;Adamczyk H.
Wisła Płock;Rasak D.
Wisła Płock;Tuszyński P.
Wisła Płock;Lewandowski  M.
Wisła Płock;Lagator D.
Wisła Płock;Tomasik P.
Wisła Płock;Susnjara L.
Piast Gliwice;Plach F.
Piast Gliwice;Rymaniak B.
Piast Gliwice;Huk T.
Piast Gliwice;Czerwiński J.
Piast Gliwice;Konczkowski M.
Piast Gliwice;Badia G.
Piast Gliwice;Chrapek M.
Piast Gliwice;Jodłowiec T.
Piast Gliwice;Pyrka  A.
Piast Gliwice;Sokołowski P.
Piast Gliwice;Świerczok J.
Piast Gliwice;Lipski P.
Piast Gliwice;Vida K.
Piast Gliwice;Żyro M.
Piast Gliwice;Steczyk  D.
Legia Warszawa;Majecki R.
Legia Warszawa;Karbownik M.
Legia Warszawa;Jędrzejczyk A.
Legia Warszawa;Wieteska M.
Legia Warszawa;Lewczuk I.
Legia Warszawa;Luquinhas
Legia Warszawa;Antolić D.
Legia Warszawa;Martins A.
Legia Warszawa;Wszołek P.
Legia Warszawa;Novikovas A.
Legia Warszawa;Kante J.
Legia Warszawa;Praszelik M.
Legia Warszawa;Gwilia W.
Legia Warszawa;Niezgoda J.
